method_name,empirical_coverage,trajectory_simultaneous_coverage,calibration_gap,avg_set_size,automation_coverage,selective_risk,unsafe_continuation_rate,review_burden
ECRG_CALIBRATED_FULL,1.0,1.0,0.050000000000000044,1.9906521255286,0.0,NA — undefined,0.0,1.0
ECRG_EVIDENCE_ONLY,0.8477631871800578,0.0,0.10223681281994212,1.0,0.001112842198976185,0.000000,0.0,0.9988871578010238
UNCALIBRATED_RISK_LEARNER,0.8470954818606722,0.0,0.10290451813932777,1.0,0.013354106387714223,0.000000,0.0,0.9866458936122858
FROZEN_STRESS_ROBUST_FUSION,0.8477631871800578,0.0,0.10223681281994212,1.0,0.001112842198976185,0.000000,0.0,0.9988871578010238
UNCERTAINTY_ONLY,0.8341865123525484,0.0,0.11581348764745159,1.0,0.6552414867571779,0.001698,0.001112842198976185,0.3447585132428222
